exercise_id,set_order,weight,reps,notes,rpe
1,1,120,11,"",
1,2,120,10,"",
1,3,120,10,"",
1,4,120,10,"",
2,1,25,6,"",
2,2,25,6,"",
2,3,25,6,"",
3,1,85,15,"",
3,2,85,12,"",
3,3,85,10,"",
3,4,55,9,"",
3,5,40,7,"",
4,1,85,16,"",
4,2,100,15,"",
4,3,100,14,"",
4,4,70,10,"",
4,5,40,10,"",
5,1,95,12,"",
5,2,95,12,"",
5,3,95,10,"",
5,4,95,8,"",
6,1,30,12,"",
6,2,30,12,"",
6,3,30,12,"",
7,1,25,8,"",
7,2,20,10,"",
7,3,20,10,"",
8,1,10,10,"",
8,2,10,10,"",
8,3,10,10,"",
9,1,0,6,"",
9,2,0,6,"",
10,1,10,12,"",
10,2,10,15,"",
10,3,10,15,"",
11,1,25,6,"",
11,2,25,6,"",
11,3,25,6,"",
12,1,40,12,"",
12,2,40,15,"",
12,3,40,15,"",
13,1,0,7,"",
13,2,0,7,"",
13,3,0,7,"",
13,4,0,7,"",
14,1,35,8,"",
14,2,35,8,"",
14,3,35,8,"",
15,1,60,14,"",
15,2,60,14,"",
15,3,60,14,"",
16,1,75,6,"",
16,2,60,8,"",
16,3,60,8,"",
17,1,50,12,"",
17,2,50,12,"",
17,3,50,12,"",
18,1,40,9,"",
18,2,40,9,"",
18,3,40,9,"",
19,1,180,10,"",
19,2,180,8,"",
19,3,180,6,"",
20,1,90,12,"",
20,2,90,12,"",
20,3,90,12,"",
21,1,30,20,"",
21,2,30,20,"",
21,3,30,20,"",
22,1,25,10,"",
22,2,25,10,"",
22,3,25,10,"",
3,1,90,17,"",
3,2,95,16,"",
3,3,100,14,"",
3,4,60,8,"",
3,5,30,10,"",
4,1,45,15,"",
4,2,50,15,"",
4,3,50,15,"",
4,4,25,15,"",
4,5,15,15,"",
23,1,80,12,"",
23,2,80,12,"",
23,3,80,11,"",9.5
23,4,80,10,"",9.5
24,1,25,12,"",
24,2,25,10,"",
24,3,25,8,"",
25,1,32.5,12,"",
25,2,32.5,12,"",
25,3,32.5,9,"",
26,1,24,10,"",
26,2,24,10,"",
26,3,24,9,"",
10,1,10,16,"",
10,2,12.5,10,"",
10,3,12.5,9,"",
27,1,25,12,"",
27,2,25,12,"",
27,3,25,10,"",10
28,1,25,12,"",
28,2,25,15,"",
28,3,25,15,"",
1,1,120,12,"",
1,2,120,11,"",
1,3,120,12,"",
1,4,120,7,"",
2,1,30,6,"",
2,2,30,6,"",
2,3,30,6,"",
29,1,40,10,"",9.5
29,2,40,10,"",
29,3,40,10,"",
3,1,70,15,"",7.5
3,2,70,12,"",
3,3,70,12,"",
4,1,45,15,"",
4,2,50,12,"",
4,3,50,12,"",
30,1,35,12,"",
30,2,35,10,"",9
30,3,35,10,"",
31,1,120,10,"",
31,2,120,10,"",
31,3,120,10,"",
5,1,100,10,"",
5,2,100,8,"",
5,3,100,6,"",
5,4,100,6,"",
32,1,27.5,12,"",
32,2,27.5,12,"",9
32,3,27.5,12,"",
33,1,22.5,7,"",
33,2,22.5,6,"",
33,3,22.5,6,"",
34,1,70,9,"",
34,2,70,9,"",
34,3,70,8,"",
8,1,24,12,"",
8,2,24,12,"",
8,3,24,12,"",
27,1,25,12,"",
27,2,25,12,"",
27,3,25,10,"",
10,1,12.5,12,"",
10,2,12.5,12,"",
12,1,20,15,"",
12,2,22.5,12,"",
12,3,22.5,12,"",
35,1,85,10,"",
35,2,85,10,"",
35,3,85,10,"",
36,1,65,12,"",
36,2,65,12,"",
36,3,65,12,"",
15,1,60,12,"",
15,2,60,12,"",
15,3,60,12,"",
37,1,72.5,12,"",
37,2,72.5,10,"",
37,3,72.5,10,"",
17,1,25,12,"",
17,2,25,11,"",
17,3,25,10,"",
38,1,15,12,"",
38,2,15,12,"",
38,3,15,10,"",
39,1,30,12,"",
39,2,30,11,"",
39,3,30,10,"",
40,1,155,5,"",
40,2,155,6,"",
40,3,155,6,"",
40,4,155,6,"",
41,1,160,14,"",
41,2,180,15,"",
41,3,180,15,"",
29,1,40,12,"",
29,2,42.5,12,"",
29,3,42.5,12,"",
3,1,85,16,"",
3,2,85,15,"",
3,3,85,12,"",
3,4,55,8,"",
3,5,25,6,"",
4,1,85,15,"",
