date,exercise_id,set_order,weight,reps,notes,rpe
2021-09-29,1,1,120,11,"",
2021-09-29,1,2,120,10,"",
2021-09-29,1,3,120,10,"",
2021-09-29,1,4,120,10,"",
2021-09-29,2,1,25,6,"",
2021-09-29,2,2,25,6,"",
2021-09-29,2,3,25,6,"",
2021-09-29,3,1,85,15,"",
2021-09-29,3,2,85,12,"",
2021-09-29,3,3,85,10,"",
2021-09-29,3,4,55,9,"",
2021-09-29,3,5,40,7,"",
2021-09-29,4,1,85,16,"",
2021-09-29,4,2,100,15,"",
2021-09-29,4,3,100,14,"",
2021-09-29,4,4,70,10,"",
2021-09-29,4,5,40,10,"",
2021-10-01,5,1,95,12,"",
2021-10-01,5,2,95,12,"",
2021-10-01,5,3,95,10,"",
2021-10-01,5,4,95,8,"",
2021-10-01,6,1,30,12,"",
2021-10-01,6,2,30,12,"",
2021-10-01,6,3,30,12,"",
2021-10-01,7,1,25,8,"",
2021-10-01,7,2,20,10,"",
2021-10-01,7,3,20,10,"",
2021-10-01,8,1,10,10,"",
2021-10-01,8,2,10,10,"",
2021-10-01,8,3,10,10,"",
2021-10-01,9,1,0,6,"",
2021-10-01,9,2,0,6,"",
2021-10-01,10,1,10,12,"",
2021-10-01,10,2,10,15,"",
2021-10-01,10,3,10,15,"",
2021-10-01,11,1,25,6,"",
2021-10-01,11,2,25,6,"",
2021-10-01,11,3,25,6,"",
2021-10-01,12,1,40,12,"",
2021-10-01,12,2,40,15,"",
2021-10-01,12,3,40,15,"",
2021-10-02,13,1,0,7,"",
2021-10-02,13,2,0,7,"",
2021-10-02,13,3,0,7,"",
2021-10-02,13,4,0,7,"",
2021-10-02,14,1,35,8,"",
2021-10-02,14,2,35,8,"",
2021-10-02,14,3,35,8,"",
2021-10-02,15,1,60,14,"",
2021-10-02,15,2,60,14,"",
2021-10-02,15,3,60,14,"",
2021-10-02,16,1,75,6,"",
2021-10-02,16,2,60,8,"",
2021-10-02,16,3,60,8,"",
2021-10-02,17,1,50,12,"",
2021-10-02,17,2,50,12,"",
2021-10-02,17,3,50,12,"",
2021-10-02,18,1,40,9,"",
2021-10-02,18,2,40,9,"",
2021-10-02,18,3,40,9,"",
2021-10-03,19,1,180,10,"",
2021-10-03,19,2,180,8,"",
2021-10-03,19,3,180,6,"",
2021-10-03,20,1,90,12,"",
2021-10-03,20,2,90,12,"",
2021-10-03,20,3,90,12,"",
2021-10-03,21,1,30,20,"",
2021-10-03,21,2,30,20,"",
2021-10-03,21,3,30,20,"",
2021-10-03,22,1,25,10,"",
2021-10-03,22,2,25,10,"",
2021-10-03,22,3,25,10,"",
2021-10-03,3,1,90,17,"",
2021-10-03,3,2,95,16,"",
2021-10-03,3,3,100,14,"",
2021-10-03,3,4,60,8,"",
2021-10-03,3,5,30,10,"",
2021-10-03,4,1,45,15,"",
2021-10-03,4,2,50,15,"",
2021-10-03,4,3,50,15,"",
2021-10-03,4,4,25,15,"",
2021-10-03,4,5,15,15,"",
2021-10-04,23,1,80,12,"",
