date,workout_number,duration,set_order,weight,reps,distance,seconds,notes,workout_notes,rpe,exercise_id
2021-09-29 09:55:00,Evening Workout,1h 20m,1,120.0,11,0,0,,,,1
2021-09-29 09:55:00,Evening Workout,1h 20m,2,120.0,10,0,0,,,,1
2021-09-29 09:55:00,Evening Workout,1h 20m,3,120.0,10,0,0,,,,1
2021-09-29 09:55:00,Evening Workout,1h 20m,4,120.0,10,0,0,,,,1
2021-09-29 09:55:00,Evening Workout,1h 20m,1,25.0,6,0,0,,,,2
2021-09-29 09:55:00,Evening Workout,1h 20m,2,25.0,6,0,0,,,,2
2021-09-29 09:55:00,Evening Workout,1h 20m,3,25.0,6,0,0,,,,2
2021-09-29 09:55:00,Evening Workout,1h 20m,1,85.0,15,0,0,,,,3
2021-09-29 09:55:00,Evening Workout,1h 20m,2,85.0,12,0,0,,,,3
2021-09-29 09:55:00,Evening Workout,1h 20m,3,85.0,10,0,0,,,,3
2021-09-29 09:55:00,Evening Workout,1h 20m,4,55.0,9,0,0,,,,3
2021-09-29 09:55:00,Evening Workout,1h 20m,5,40.0,7,0,0,,,,3
2021-09-29 09:55:00,Evening Workout,1h 20m,1,85.0,16,0,0,,,,4
2021-09-29 09:55:00,Evening Workout,1h 20m,2,100.0,15,0,0,,,,4
2021-09-29 09:55:00,Evening Workout,1h 20m,3,100.0,14,0,0,,,,4
2021-09-29 09:55:00,Evening Workout,1h 20m,4,70.0,10,0,0,,,,4
2021-09-29 09:55:00,Evening Workout,1h 20m,5,40.0,10,0,0,,,,4
2021-10-01 10:51:30,Morning Workout,1h 9m,1,95.0,12,0,0,,,,5
2021-10-01 10:51:30,Morning Workout,1h 9m,2,95.0,12,0,0,,,,5
2021-10-01 10:51:30,Morning Workout,1h 9m,3,95.0,10,0,0,,,,5
2021-10-01 10:51:30,Morning Workout,1h 9m,4,95.0,8,0,0,,,,5
2021-10-01 10:51:30,Morning Workout,1h 9m,1,30.0,12,0,0,,,,6
2021-10-01 10:51:30,Morning Workout,1h 9m,2,30.0,12,0,0,,,,6
2021-10-01 10:51:30,Morning Workout,1h 9m,3,30.0,12,0,0,,,,6
2021-10-01 10:51:30,Morning Workout,1h 9m,1,25.0,8,0,0,,,,7
2021-10-01 10:51:30,Morning Workout,1h 9m,2,20.0,10,0,0,,,,7
2021-10-01 10:51:30,Morning Workout,1h 9m,3,20.0,10,0,0,,,,7
2021-10-01 10:51:30,Morning Workout,1h 9m,1,10.0,10,0,0,,,,8
2021-10-01 10:51:30,Morning Workout,1h 9m,2,10.0,10,0,0,,,,8
2021-10-01 10:51:30,Morning Workout,1h 9m,3,10.0,10,0,0,,,,8
2021-10-01 10:51:30,Morning Workout,1h 9m,1,0.0,6,0,0,,,,9
2021-10-01 10:51:30,Morning Workout,1h 9m,2,0.0,6,0,0,,,,9
2021-10-01 10:51:30,Morning Workout,1h 9m,1,10.0,12,0,0,,,,10
2021-10-01 10:51:30,Morning Workout,1h 9m,2,10.0,15,0,0,,,,10
2021-10-01 10:51:30,Morning Workout,1h 9m,3,10.0,15,0,0,,,,10
